idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
48024,21686,SPC Asino 2211 4 mm (0.5 wl) -,22.0000,58.08000000,205852.6404
48027,18871,Porcelanato Natural Atelier Atelier -,1.0000,1.68000000,5240.3677
48028,200130,SPC Oferta ORGW179-15 6 mm -,41.0000,72.57000000,185255.2200
48029,19816,SPC Metz 4 mm (0.3 wl) / Bisel + EIR -,1.0000,3.54000000,14049.7924
48031,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14485.9200
48031,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,14.0000,36.96000000,103474.7000
48033,21680,SPC Poligus 2205 4 mm (0.5 wl) -,28.0000,73.92000000,272592.0902
48033,21297,SPC Concreto 3001 4 mm (0.3 wl) -,11.0000,24.64000000,88531.6740
48033,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,5.0000,5.00000000,36149.6291
48034,19365,Porcelanato Moka Outi -,8.0000,12.00000000,41001.7736
48035,200155,SPC Oferta CDW653EXL-02 4 mm -,5.0000,17.35000000,48451.8388
48037,200121,SPC Oferta ORGW404-4 6 mm -,1.0000,2.65000000,5317.4900
48038,21702,SPC Oferta Daisy 5mm + 1.5mm EVA + 0.3 wl -,28.0000,55.44000000,177830.2400
48040,200127,SPC Oferta ORGW491-8 4 mm -,15.0000,39.75000000,86552.2080
48040,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,13415.7192
48041,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7243.7232
48041,200164,"SPC Oferta WR23806 4,5 mm -",9.0000,19.62000000,45785.0817
48043,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7242.9971
48043,200162,"SPC Oferta JMW035 4,5 mm -",7.0000,15.26000000,35598.5308
48045,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,3.5000,3.50000000,20831.6717
48045,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,42.0000,79.38000000,259536.8958
48046,19954,SPC Oferta Roble Gala (Max Core) 4 mm (0.3 wl) -,7.0000,18.48000000,73716.0193
48046,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7261.1616
48052,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,10.0000,10.00000000,3255.1940
48052,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,3.0000,7.92000000,19508.0475
48053,20900,SPC Oferta FH785701 4mm + 1.0mm IXPE + Bisel Recti,6.0000,14.34000000,37522.5990
48054,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,34.0000,89.76000000,207650.3216
48054,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,4.0000,4.00000000,23939.9648
48055,20227,SPC Roble Polonia 1106 (Max Core 2da Gen) 4.5 mm (,21.0000,38.43000000,176259.3000
48055,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14522.3200
48056,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,4.5000,4.50000000,32668.6851
48056,21097,SPC Roble Adela 4 mm (0.3 wl) -,46.0000,94.30000000,364868.0118
48057,200141,SPC Oferta ORGW102-15 - -,19.0000,46.17000000,107995.5250
48061,21208,SPC Baden 3518 4 mm (0.3 wl) -,29.0000,78.30000000,226470.5898
48061,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,3.5000,3.50000000,21906.8881
48063,200159,"SPC Oferta ORGW179-15 4,5 mm -",18.0000,47.70000000,111282.5142
48065,200162,"SPC Oferta JMW035 4,5 mm -",5.0000,10.90000000,25491.3000
48065,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,3630.5800
48066,200149,SPC Oferta JMW67303 - -,24.0000,59.28000000,129760.4880
48067,20228,SPC Roble Hacienda 1 Lama 8007 (Max Core 2da Gen),15.0000,39.60000000,150410.7615
